subscription_id,customer_id,plan_name,plan_tier,status,billing_cycle,mrr,subscription_length_days,tenure_bucket,is_active,is_churned,churn_timing
S0001,C0001,Team,business,active,monthly,79,210,6-12 months,true,false,
S0002,C0002,Pro,professional,active,monthly,29,160,3-6 months,true,false,
S0003,C0003,Enterprise,enterprise,active,annual,199,420,12+ months,true,false,
S0004,C0004,Team,business,active,monthly,79,150,3-6 months,true,false,
S0005,C0005,Pro,professional,active,monthly,29,120,3-6 months,true,false,
S0006,C0006,Team,business,active,annual,79,450,12+ months,true,false,
S0007,C0007,Enterprise,enterprise,active,annual,199,360,12+ months,true,false,
S0008,C0008,Team,business,active,monthly,79,90,1-3 months,true,false,
S0009,C0009,Pro,professional,active,monthly,29,75,1-3 months,true,false,
S0010,C0010,Enterprise,enterprise,active,annual,199,400,12+ months,true,false,
S0011,C0011,Pro,professional,active,monthly,29,60,1-3 months,true,false,
S0012,C0012,Team,business,active,monthly,79,130,3-6 months,true,false,
S0013,C0013,Enterprise,enterprise,active,monthly,199,170,3-6 months,true,false,
S0014,C0014,Pro,professional,active,monthly,29,45,1-3 months,true,false,
S0015,C0015,Enterprise,enterprise,active,monthly,199,110,3-6 months,true,false,
S0016,C0016,Team,business,active,monthly,79,95,1-3 months,true,false,
S0017,C0017,Starter,free,active,monthly,0,40,1-3 months,true,false,
S0018,C0018,Pro,professional,churned,monthly,0,55,1-3 months,false,true,standard_churn
S0019,C0019,Team,business,active,annual,79,300,6-12 months,true,false,
S0020,C0020,Enterprise,enterprise,active,annual,199,460,12+ months,true,false,
S0021,C0021,Enterprise,enterprise,active,annual,199,380,12+ months,true,false,
S0022,C0022,Pro,professional,churned,monthly,0,25,0-1 month,false,true,early_churn
S0023,C0023,Team,business,active,monthly,79,70,1-3 months,true,false,
S0024,C0024,Starter,free,active,monthly,0,35,1-3 months,true,false,
